loan_id,customer_id,segment,industry,region,rating_grade,outstanding_balance_vnd,undrawn_commitment_vnd,collateral_type,ltv,dscr,leverage,revenue_growth,cash_flow_margin,dpd,rating_downgrade_notches,pd_12m,lgd,ccf,ead_vnd,ifrs9_stage,lifetime_pd,ecl_vnd,default_flag
LN00001,CUS00559,Retail Mortgage,Real Estate,Hai Phong,BB,916000000000,57517534138,Machinery,1.1128,2.343,1.405,0.0124,0.1248,0,0,0.055,0.639471,0.75,959138150603,1,0.0825,33733763297,0
LN00002,CUS00619,Large Corporate,Healthcare,Da Nang,BBB,655000000000,205776586672,Real Estate,0.6676,1.628,3.887,0.2372,0.0707,0,0,0.02766,0.48366,0.4,737310634668,1,0.041489,9863587556,0
LN00003,CUS00239,SME,Technology,Can Tho,B,324000000000,80487524039,Receivables,0.9829,1.13,4.386,-0.1004,0.0831,0,0,0.14673,0.593999,0.4,356195009615,1,0.220095,31045026780,0
LN00004,CUS00168,SME,F&B,Hai Phong,A,668000000000,111276398715,Inventory,0.7912,1.909,4.268,0.3198,0.0452,0,0,0.013826,0.526927,0.4,712510559486,1,0.020739,5190748109,0
LN00005,CUS00470,Large Corporate,Agriculture,HCMC,BBB,231000000000,23809547080,Inventory,1.0206,1.896,3.093,0.2031,0.2432,0,0,0.025278,0.607209,0.4,240523818832,1,0.037918,3691858463,0
LN00006,CUS00113,Retail Mortgage,Retail,HCMC,BBB,1078000000000,362376400032,Cash,0.7064,1.144,4.005,-0.3209,0.3,0,0,0.029129,0.347252,0.75,1349782300024,1,0.043693,13652958551,0
LN00007,CUS00349,SME,Energy,Hanoi,BB,1565000000000,419654425673,Receivables,0.7009,1.883,0.2,-0.0612,0.0733,35,1,0.100833,0.495299,0.4,1732861770269,2,0.3025,259631118105,0
LN00008,CUS00157,SME,Manufacturing,Da Nang,BBB,2949000000000,349530439799,Unsecured,0.7607,1.455,3.197,0.3905,0.0056,0,0,0.02559,0.716231,0.4,3088812175919,1,0.038385,56613467813,0
LN00009,CUS00498,Consumer Finance,Agriculture,Can Tho,B,4000000000,1078100252,Cash,0.7528,1.819,0.549,0.4767,0.1107,0,0,0.12,0.36349,0.75,4808575189,1,0.18,209744363,0
LN00010,CUS00206,Retail Mortgage,Agriculture,Dong Nai,AA,2704000000000,578323597670,Machinery,0.7113,1.389,2.862,0.2113,0.0297,0,0,0.005,0.498968,0.75,3137742698252,1,0.0075,7828173488,0
LN00011,CUS00339,SME,Transport,Hanoi,BBB,1851000000000,100790444948,Cash,0.8788,2.293,2.339,0.0114,0.0957,5,0,0.027083,0.407567,0.4,1891316177979,1,0.040625,20876867296,0
LN00012,CUS00442,SME,F&B,Da Nang,BB,2210000000000,131584133557,Machinery,0.9254,2.458,2.482,-0.2308,0.114,15,0,0.06875,0.573895,0.4,2262633653422,1,0.103125,89272817336,0
LN00013,CUS00474,Retail Mortgage,Technology,HCMC,BBB,2760000000000,811591716426,Real Estate,0.6071,1.645,2.857,-0.2402,0.1304,0,0,0.025,0.462473,0.75,3368693787319,1,0.0375,38948281998,0
LN00014,CUS00219,SME,Construction,Can Tho,B,403000000000,9174193559,Cash,0.9327,2.846,3.188,0.4834,0.0546,35,0,0.192707,0.426439,0.4,406669677423,2,0.578121,100257798276,0
LN00015,CUS00060,Large Corporate,Real Estate,Binh Duong,BBB,1601000000000,191065543260,Real Estate,0.6968,1.208,0.2,0.2903,0.1919,5,0,0.027083,0.493885,0.4,1677426217304,1,0.040625,22437328542,0
LN00016,CUS00241,Retail Mortgage,Real Estate,Hai Phong,BB,207000000000,54416142923,Real Estate,0.6427,0.724,3.151,0.3317,0.2601,0,0,0.076954,0.474936,0.75,247812107192,1,0.115431,9057092553,0
LN00017,CUS00308,Large Corporate,Healthcare,Hai Phong,A,164000000000,45710355462,Cash,0.6186,2.154,0.2,0.02,0.126,0,0,0.012,0.316512,0.4,182284142184,1,0.018,692340966,0
LN00018,CUS00162,Large Corporate,Construction,Hai Phong,BBB,2308000000000,1034545770742,Cash,1.1544,2.141,3.631,0.0401,0.2753,35,1,0.047725,0.504041,0.4,2721818308296,2,0.143176,196423785083,0
LN00019,CUS00620,SME,F&B,HCMC,B,2168000000000,7632223337,Unsecured,0.919,1.377,1.486,-0.2841,0.1163,0,0,0.12,0.771665,0.4,2171052889334,1,0.18,201039156174,0
LN00020,CUS00269,SME,Retail,HCMC,BB,2072000000000,455507098944,Inventory,0.924,2.681,1.682,0.2381,0.136,0,0,0.055,0.573404,0.4,2254202839577,1,0.0825,71091263240,0
LN00021,CUS00041,Retail Mortgage,Agriculture,Da Nang,BB,41000000000,2064073096,Cash,1.1384,1.515,3.425,0.1193,0.0209,0,0,0.057803,0.498453,0.75,42548054822,1,0.086705,1225904647,0
LN00022,CUS00423,SME,Retail,Hanoi,A,2295000000000,913090112923,Inventory,1.0357,1.163,4.282,0.3142,0.2423,35,3,0.030202,0.612511,0.4,2660236045169,2,0.090605,147633270072,0
LN00023,CUS00313,Retail Mortgage,Transport,Can Tho,A,2745000000000,1067335091050,Receivables,0.9087,1.398,3.356,-0.0037,0.1999,0,1,0.015512,0.568043,0.75,3545501318287,1,0.023269,31241860479,0
LN00024,CUS00340,Large Corporate,Retail,Hanoi,B,793000000000,142192584450,Unsecured,0.5653,1.763,3.723,0.1045,0.0164,0,0,0.130404,0.64787,0.4,849877033780,1,0.195606,71801858602,0
